guid,entry_status,major,in_school_earning,fin_aid_0,fin_aid_3000,fin_aid_10000,,,,,Fin Aid $0,"Fin Aid $3,000","Fin Aid $10,000"
0f1dc56b-6e82-4acb-90b5-fdf8c3ec14b3,FTT,Applied Physics,0,7.238719577,9.232480818,15.58992135,,,,,0.07238719577,0.09232480818,0.1558992135
c9c053f9-3187-411a-88d0-c4a885e8c320,FTT,Applied Physics,4500,10.3545194,12.94591104,22.12326453,,,,,0.103545194,0.1294591104,0.2212326453
111e28cc-ae00-46e1-993e-263754d8bd1d,FTT,Applied Physics,10500,16.18757374,20.41240154,37.93764677,,,,,0.1618757374,0.2041240154,0.3793764677
f9d969ea-e2cb-46cf-b8b7-dd99e8f4ef06,FTT,Architecture,0,6.615927051,8.415492018,13.76102501,,,,,0.06615927051,0.08415492018,0.1376102501
df8d460a-4722-48af-b0d4-57e80c26b7f5,FTT,Architecture,4500,9.404175214,11.61502795,18.59142311,,,,,0.09404175214,0.1161502795,0.1859142311
2fe919f1-8e31-45ee-ad94-1999e6fb99e4,FTT,Architecture,10500,14.230522,17.3891362,27.9350017,,,,,0.14230522,0.173891362,0.279350017
da64dc12-0fe9-4d55-ab3a-a58c53ca0272,FTT,Art,0,6.316362217,8.272841448,14.84089379,,,,,0.06316362217,0.08272841448,0.1484089379
9fa2a9bf-2b93-44dc-8b06-a4f52a39503b,FTT,Art,4500,9.389208086,12.02912407,22.47220457,,,,,0.09389208086,0.1202912407,0.2247220457
d5bf9939-605e-440c-9803-d394eacdb279,FTT,Art,10500,15.49634119,20.37016741,45.97888485,,,,,0.1549634119,0.2037016741,0.4597888485
a1707687-4c56-49d5-96a5-1400f07956bf,FTT,Art History,0,6.011508362,7.873353812,13.95957602,,,,,0.06011508362,0.07873353812,0.1395957602
b64c7700-da9d-4915-8791-53ab438146da,FTT,Art History,4500,8.925630414,11.38428851,20.77997789,,,,,0.08925630414,0.1138428851,0.2077997789
