guid,entry_status,major,in_school_earning,fin_aid_0,fin_aid_3000,fin_aid_10000,,,,,Fin Aid $0,"Fin Aid $3,000","Fin Aid $10,000"
9500ce21-65e2-4865-9471-ba010d4d978c,FTF,Applied Physics,0,8.950509831,11.04586095,18.50090359,,,,,0.08950509831,0.1104586095,0.1850090359
b0d7a1b4-7143-4d4d-8fba-8a98b8ecb146,FTF,Applied Physics,4500,12.26517814,15.21980015,28.79372602,,,,,0.1226517814,0.1521980015,0.2879372602
697d0084-2a97-448f-b5d0-639e0e4503f2,FTF,Applied Physics,10500,19.29156014,25.65060387,72.20366028,,,,,0.1929156014,0.2565060387,0.7220366028
08aa4568-d59b-493a-a3b2-d2227c0c5481,FTF,Architecture,0,11.9499731,14.41826038,22.8396096,,,,,0.119499731,0.1441826038,0.228396096
65d71e20-5826-4a7b-b9a1-b9b01fc5c77f,FTF,Architecture,4500,15.84324255,19.23019197,32.8366686,,,,,0.1584324255,0.1923019197,0.328366686
b3038f0a-b1b2-48db-b792-9ba0debf529f,FTF,Architecture,10500,23.68136758,30.01214579,59.984947,,,,,0.2368136758,0.3001214579,0.59984947
3fda5344-93bc-4231-a3f9-5d59169f0b17,FTF,Art,0,6.994742351,8.819296413,15.35253088,,,,,0.06994742351,0.08819296413,0.1535253088
d525ac76-7563-49a2-a9fb-e7461351cf0f,FTF,Art,4500,9.877233312,12.4484039,25.2579996,,,,,0.09877233312,0.124484039,0.252579996
0becba9d-73ed-477c-a90f-ff748ad3a1f2,FTF,Art,10500,16.06497169,22.0624216,71.74652912,,,,,0.1606497169,0.220624216,0.7174652912
0f70d0b3-a0d0-42d6-9058-a253174eeb04,FTF,Art History,0,NA,NA,NA,,,,,NA,NA,NA
8c5f4bed-5205-4ab9-a302-cc46d7c11e1d,FTF,Art History,4500,NA,NA,NA,,,,,NA,NA,NA
817a9118-739f-47bb-a97b-92631ed6d94a,FTF,Art History,10500,NA,NA,NA,,,,,NA,NA,NA
c23aaeb1-5071-4471-bf02-c67ee1935dd7,FTF,Asian/Asian-American Studies,0,6.412277116,7.899652714,12.43407737,,,,,0.06412277116,0.07899652714,0.1243407737
74edcb0c-1f85-45d1-9464-705b06900385,FTF,Asian/Asian-American Studies,4500,8.720360901,10.57746039,17.02471443,,,,,0.08720360901,0.1057746039,0.1702471443
33c2f827-ef86-44a2-9ea6-547513a3d2a7,FTF,Asian/Asian-American Studies,10500,12.85098077,15.80676184,30.54318074,,,,,0.1285098077,0.1580676184,0.3054318074
d2f84479-e838-4fba-b9a5-f89a35f77a03,FTF,Asian/East Asian Studies,0,9.242526056,11.42465681,19.3188293,,,,,0.09242526056,0.1142465681,0.193188293
f27c526f-5af3-40cc-8523-b6267dab25eb,FTF,Asian/East Asian Studies,4500,12.7021252,15.82038734,30.52262388,,,,,0.127021252,0.1582038734,0.3052262388
4f80e04b-db2f-401b-a7a1-363de904546b,FTF,Asian/East Asian Studies,10500,20.16716904,27.06326775,80.42777412,,,,,0.2016716904,0.2706326775,0.8042777412
830016e6-33d5-4bc8-93c4-017e81548037,FTF,Athletic Training,0,9.000309821,11.19873928,19.69053112,,,,,0.09000309821,0.1119873928,0.1969053112
9c2238c1-1471-4d96-af1f-c030f7dc0284,FTF,Athletic Training,4500,12.50495574,15.78313557,36.63290827,,,,,0.1250495574,0.1578313557,0.3663290827
718e492d-36cd-4ed4-b91a-b85dcb547f7a,FTF,Athletic Training,10500,20.68951421,30.12866872,145.0054009,,,,,0.2068951421,0.3012866872,1.450054009
3c142f1f-540b-4437-aecc-e68702c6adf3,FTF,Aviation,0,NA,NA,NA,,,,,NA,NA,NA
ab28783c-a40a-421e-92d0-0ab2367adca3,FTF,Aviation,4500,NA,NA,NA,,,,,NA,NA,NA
9c80b976-ebb2-4e16-a973-9dc2cf082079,FTF,Aviation,10500,NA,NA,NA,,,,,NA,NA,NA
bf2a04ca-f533-4927-b91a-6521906953a2,FTF,Behavioral Science,0,6.657777608,8.205167583,12.90825121,,,,,0.06657777608,0.08205167583,0.1290825121
3a0fdd16-ca8b-4dcf-bc49-c1183600c054,FTF,Behavioral Science,4500,9.059203311,10.98889909,17.56468581,,,,,0.09059203311,0.1098889909,0.1756468581
61dd922d-0294-4d8f-b0f8-518c36541496,FTF,Behavioral Science,10500,13.33711152,16.34540288,30.00137358,,,,,0.1333711152,0.1634540288,0.3000137358
645309e6-7d31-4532-9560-ed18b06e1775,FTF,Biochemistry,0,8.765889958,11.00764488,19.67305098,,,,,0.08765889958,0.1100764488,0.1967305098
9a1ab5bf-00d2-46c7-b27e-870ba5e95793,FTF,Biochemistry,4500,12.34366137,15.70034223,34.97051376,,,,,0.1234366137,0.1570034223,0.3497051376
3d64a7b7-a178-482b-bf07-f8a5c1ea441e,FTF,Biochemistry,10500,20.67673994,29.65058128,158.803914,,,,,0.2067673994,0.2965058128,1.58803914
fd1c6ded-6e83-463b-b578-c44b55ad762c,FTF,Biology,0,10.11084259,12.34182776,20.45012872,,,,,0.1011084259,0.1234182776,0.2045012872
873a9bcb-bdeb-4585-b557-3e27ac34ac6c,FTF,Biology,4500,13.64772384,16.84012148,32.75633487,,,,,0.1364772384,0.1684012148,0.3275633487
f3f36af1-350a-4abe-8bcb-6cda837fdfbd,FTF,Biology,10500,21.33409644,28.76197841,98.47776773,,,,,0.2133409644,0.2876197841,0.9847776773
4f91561a-0392-449f-bad6-4a140629aacb,FTF,Biomedical Engineering,0,9.998979657,12.50824536,22.68850762,,,,,0.09998979657,0.1250824536,0.2268850762
14ad7cb0-4db8-4866-be6b-b993d9d602fd,FTF,Biomedical Engineering,4500,14.02711689,17.92183739,43.89102702,,,,,0.1402711689,0.1792183739,0.4389102702
ee8eaa1b-28c8-4382-bd36-ae4e0d88efaa,FTF,Biomedical Engineering,10500,23.92345531,35.75296197,86.12490368,,,,,0.2392345531,0.3575296197,0.8612490368
ae89e0c1-5597-48fe-8087-9f9f56153477,FTF,Biomedical Physics,0,NA,NA,NA,,,,,NA,NA,NA
0720184f-ced0-463f-81d0-4e167a3d1205,FTF,Biomedical Physics,4500,NA,NA,NA,,,,,NA,NA,NA
fca3c29a-317c-4945-898e-3610cc6d1834,FTF,Biomedical Physics,10500,NA,NA,NA,,,,,NA,NA,NA
