guid	entry_status	major	in_school_earning	fin_aid_0	fin_aid_3000	fin_aid_10000
4f80e04b-db2f-401b-a7a1-363de904546b	FTF	Asian/East Asian Studies	10500	20.16716904	27.06326775	80.42777412
830016e6-33d5-4bc8-93c4-017e81548037	FTF	Athletic Training	0	9.000309821	11.19873928	19.69053112
9c2238c1-1471-4d96-af1f-c030f7dc0284	FTF	Athletic Training	4500	12.50495574	15.78313557	36.63290827
718e492d-36cd-4ed4-b91a-b85dcb547f7a	FTF	Athletic Training	10500	20.68951421	30.12866872	145.0054009
3c142f1f-540b-4437-aecc-e68702c6adf3	FTF	Aviation	0			
ab28783c-a40a-421e-92d0-0ab2367adca3	FTF	Aviation	4500			
9c80b976-ebb2-4e16-a973-9dc2cf082079	FTF	Aviation	10500			
bf2a04ca-f533-4927-b91a-6521906953a2	FTF	Behavioral Science	0	6.657777608	8.205167583	12.90825121
3a0fdd16-ca8b-4dcf-bc49-c1183600c054	FTF	Behavioral Science	4500	9.059203311	10.98889909	17.56468581
61dd922d-0294-4d8f-b0f8-518c36541496	FTF	Behavioral Science	10500	13.33711152	16.34540288	30.00137358
645309e6-7d31-4532-9560-ed18b06e1775	FTF	Biochemistry	0	8.765889958	11.00764488	19.67305098
9a1ab5bf-00d2-46c7-b27e-870ba5e95793	FTF	Biochemistry	4500	12.34366137	15.70034223	34.97051376
3d64a7b7-a178-482b-bf07-f8a5c1ea441e	FTF	Biochemistry	10500	20.67673994	29.65058128	158.803914
fd1c6ded-6e83-463b-b578-c44b55ad762c	FTF	Biology	0	10.11084259	12.34182776	20.45012872
873a9bcb-bdeb-4585-b557-3e27ac34ac6c	FTF	Biology	4500	13.64772384	16.84012148	32.75633487
f3f36af1-350a-4abe-8bcb-6cda837fdfbd	FTF	Biology	10500	21.33409644	28.76197841	98.47776773
4f91561a-0392-449f-bad6-4a140629aacb	FTF	Biomedical Engineering	0	9.998979657	12.50824536	22.68850762
14ad7cb0-4db8-4866-be6b-b993d9d602fd	FTF	Biomedical Engineering	4500	14.02711689	17.92183739	43.89102702
ee8eaa1b-28c8-4382-bd36-ae4e0d88efaa	FTF	Biomedical Engineering	10500	23.92345531	35.75296197	86.12490368
ae89e0c1-5597-48fe-8087-9f9f56153477	FTF	Biomedical Physics	0			
0720184f-ced0-463f-81d0-4e167a3d1205	FTF	Biomedical Physics	4500			
fca3c29a-317c-4945-898e-3610cc6d1834	FTF	Biomedical Physics	10500			
adc7f8c2-5746-418f-942f-9207a5503537	FTF	Biotechnology	0			
8c8e09fa-ef6f-4525-a118-40b05fe48b24	FTF	Biotechnology	4500			
d76b938c-5520-4007-9097-57d8a5d91d7a	FTF	Biotechnology	10500			
83161385-34dc-4114-9834-3a890ed8794f	FTF	Botany	0	9.244694613	11.43283945	19.37439569
1b9ba4b3-5179-4c1f-a0ac-910a86c9ee29	FTF	Botany	4500	12.71507241	15.84944115	30.73098727
53c26022-af5b-4cc0-8764-1598caa9e5b3	FTF	Botany	10500	20.23060184	27.21275427	82.28572458
fd5d9d7c-0baf-4d94-9e50-7a90f0f435db	FTF	Business Administration	0	9.617828914	11.73169032	18.88017293
28c3061a-dce9-4a0c-ba63-7dd5c88b3355	FTF	Business Administration	4500	12.94546714	15.82091074	27.33255476
774cc0fa-badb-4380-9812-44cd43789b26	FTF	Business Administration	10500	19.59343795	24.95157148	56.9100208
c50287d2-c454-4357-8e28-adec871fabd0	FTF	Business Economics	0	9.547179367	11.78640993	19.82947721
4bce49ae-1684-4d36-b969-679ae9aa8792	FTF	Business Economics	4500	13.09656804	16.28466643	30.74489929
47624aa3-2045-4c15-b6a7-4220dc7bb3c3	FTF	Business Economics	10500	20.68184896	27.46549123	84.73261991
0f33c102-d973-4207-a7ad-d069063140be	FTF	Business Law	0	5.162209544	6.463421713	10.20391414
1c2c4db9-6300-4c49-a8d6-b5d2b8c3f76e	FTF	Business Law	4500	7.166468569	8.715738207	13.60592567
7063c5da-09c5-469b-b290-311b359f66dd	FTF	Business Law	10500	10.52941952	12.74290767	21.25770876
974c184c-883f-4704-8a05-8fd966e66c74	FTF	Cell and Molecular Biology	0			
9210a536-767a-4153-969c-419b57cd68aa	FTF	Cell and Molecular Biology	4500			
e5a29db2-bce6-48a5-8184-adefa42bf58e	FTF	Cell and Molecular Biology	10500			
6e650cf4-6d73-4833-9d89-2098e92fea28	FTF	Chemical Engineering	0	20.7815154	24.10075541	35.99517385
afef5b75-a718-40e6-8765-cb280869bf55	FTF	Chemical Engineering	4500	26.03973238	30.74628633	53.30794797
3668f5b2-3618-4b75-94b4-62820c064695	FTF	Chemical Engineering	10500	37.26805145	47.78211019	112.6688352
