Campus,Student Path,Entry Stat,Old_Hegis,HEGIS at Exit,Major,industry,number_of_students_found_5_years_after_exit,median_annual_earnings_5_years_after_exit,average_annual_earnings_5_years_after_exit,number_of_students_found_10_years_after_exit,median_annual_earnings_10_years_after_exit,average_annual_earnings_10_years_after_exit
73,1,FTF + FTT,06011,06011,Communications,Retail Trade,12,26655,33736,,,
73,1,FTF + FTT,06011,06011,Communications,Information,9,56099,54295,,,
73,1,FTF + FTT,06011,06011,Communications,Finance & Insurance,6,57909,61335,,,
73,1,FTF + FTT,06011,06011,Communications,Real Estate & Rental & Leasing,7,36000,37784,,,
73,1,FTF + FTT,06011,06011,Communications,"Professional, Scientific, & Technical Skills",15,39009,38541,,,
73,1,FTF + FTT,06011,06011,Communications,Management of Companies & Enterprises,,,,,,
73,1,FTF + FTT,06011,06011,Communications,Admin & Support & Waste Mgmt & Remediation,9,53626,58102,,,
73,1,FTF + FTT,06011,06011,Communications,Educational Services,9,40508,33035,,,
73,1,FTF + FTT,06011,06011,Communications,Health Care & Social Assistance,,,,,,
73,1,FTF + FTT,06011,06011,Communications,"Arts, Entertainment, & Recreation",7,30238,28802,,,
73,1,FTF + FTT,06011,06011,Communications,Accommodation & Food Services,9,28135,27926,,,
73,1,FTF + FTT,06011,06011,Communications,Other Services,5,35527,31944,,,
73,1,FTF + FTT,06011,06011,Communications,Non-Classified,,,,,,
73,1,FTF + FTT,06011,06011,Communications,Government,,,,,,
73,1,FTF + FTT,06011,06011,Communications,Wages - No NAICS Code,7,5752,13947,,,
73,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Manufacturing,5,75118,76854,,,
73,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Wholesale Trade,,,,,,
73,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Retail Trade,,,,,,
73,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Transportation & Warehousing,,,,,,
73,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Information,17,72408,75804,,,
73,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Finance & Insurance,,,,,,
73,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,"Professional, Scientific, & Technical Skills",27,76082,78484,,,
73,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Admin & Support & Waste Mgmt & Remediation,5,74523,69148,,,
73,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Educational Services,7,52079,43116,,,
73,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Health Care & Social Assistance,,,,,,
73,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Other Services,,,,,,
73,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Government,,,,,,
73,1,FTF + FTT,07011 + 07012 + 07028,07028,Computer Science and Information Technology,Wages - No NAICS Code,,,,,,
73,1,FTF + FTT,08231 + 08232,08232,Child Development,Retail Trade,,,,,,
73,1,FTF + FTT,08231 + 08232,08232,Child Development,Finance & Insurance,,,,,,
73,1,FTF + FTT,08231 + 08232,08232,Child Development,Real Estate & Rental & Leasing,,,,,,
73,1,FTF + FTT,08231 + 08232,08232,Child Development,Educational Services,6,45858,36243,,,
73,1,FTF + FTT,08231 + 08232,08232,Child Development,Health Care & Social Assistance,7,30917,27380,,,
73,1,FTF + FTT,08231 + 08232,08232,Child Development,Accommodation & Food Services,,,,,,
73,1,FTF + FTT,08231 + 08232,08232,Child Development,Other Services,,,,,,
73,1,FTF + FTT,08231 + 08232,08232,Child Development,Government,,,,,,
73,1,FTF + FTT,08231 + 08232,08232,Child Development,Wages - No NAICS Code,,,,,,
73,1,FTF + FTT,10015,10015,Performing Arts,Construction,,,,,,
73,1,FTF + FTT,10015,10015,Performing Arts,Manufacturing,,,,,,
73,1,FTF + FTT,10015,10015,Performing Arts,Retail Trade,,,,,,
73,1,FTF + FTT,10015,10015,Performing Arts,Information,,,,,,
73,1,FTF + FTT,10015,10015,Performing Arts,Admin & Support & Waste Mgmt & Remediation,,,,,,
73,1,FTF + FTT,10015,10015,Performing Arts,Health Care & Social Assistance,,,,,,
73,1,FTF + FTT,10015,10015,Performing Arts,Accommodation & Food Services,,,,,,
73,1,FTF + FTT,10015,10015,Performing Arts,Government,,,,,,
73,1,FTF + FTT,10015,10015,Performing Arts,Wages - No NAICS Code,,,,,,
73,1,FTF + FTT,10021 + 10022,10022,Art,Mining,,,,,,
73,1,FTF + FTT,10021 + 10022,10022,Art,Construction,5,49111,69973,,,
73,1,FTF + FTT,10021 + 10022,10022,Art,Manufacturing,20,44818,49122,,,
73,1,FTF + FTT,10021 + 10022,10022,Art,Wholesale Trade,12,49611,46214,,,
73,1,FTF + FTT,10021 + 10022,10022,Art,Retail Trade,34,25430,30400,,,
73,1,FTF + FTT,10021 + 10022,10022,Art,Transportation & Warehousing,,,,,,
73,1,FTF + FTT,10021 + 10022,10022,Art,Information,21,52098,44651,8,71475,84443
73,1,FTF + FTT,10021 + 10022,10022,Art,Finance & Insurance,6,48778,43156,,,
73,1,FTF + FTT,10021 + 10022,10022,Art,Real Estate & Rental & Leasing,,,,,,
73,1,FTF + FTT,10021 + 10022,10022,Art,"Professional, Scientific, & Technical Skills",34,37591,43377,8,62408,59445
73,1,FTF + FTT,10021 + 10022,10022,Art,Admin & Support & Waste Mgmt & Remediation,6,51583,63927,,,
73,1,FTF + FTT,10021 + 10022,10022,Art,Educational Services,20,27501,30906,6,38842,40438
73,1,FTF + FTT,10021 + 10022,10022,Art,Health Care & Social Assistance,15,29454,32813,,,
73,1,FTF + FTT,10021 + 10022,10022,Art,"Arts, Entertainment, & Recreation",,,,,,
73,1,FTF + FTT,10021 + 10022,10022,Art,Accommodation & Food Services,15,23444,22627,,,
73,1,FTF + FTT,10021 + 10022,10022,Art,Other Services,,,,,,
73,1,FTF + FTT,10021 + 10022,10022,Art,Government,7,4430,13136,5,25891,30688
73,1,FTF + FTT,10021 + 10022,10022,Art,Wages - No NAICS Code,19,11967,30406,,,
73,1,FTF + FTT,10031,10031,Art History,Construction,,,,,,
73,1,FTF + FTT,10031,10031,Art History,Wholesale Trade,,,,,,
73,1,FTF + FTT,10031,10031,Art History,Retail Trade,5,37665,31833,,,
73,1,FTF + FTT,10031,10031,Art History,Information,,,,,,
73,1,FTF + FTT,10031,10031,Art History,Finance & Insurance,,,,,,
73,1,FTF + FTT,10031,10031,Art History,Real Estate & Rental & Leasing,,,,,,
73,1,FTF + FTT,10031,10031,Art History,"Professional, Scientific, & Technical Skills",,,,,,
73,1,FTF + FTT,10031,10031,Art History,Admin & Support & Waste Mgmt & Remediation,,,,,,
73,1,FTF + FTT,10031,10031,Art History,Health Care & Social Assistance,,,,,,
73,1,FTF + FTT,10031,10031,Art History,"Arts, Entertainment, & Recreation",,,,,,
73,1,FTF + FTT,10031,10031,Art History,Accommodation & Food Services,,,,,,
73,1,FTF + FTT,10031,10031,Art History,Other Services,,,,,,
73,1,FTF + FTT,10031,10031,Art History,Government,,,,,,
73,1,FTF + FTT,10031,10031,Art History,Wages - No NAICS Code,,,,,,
73,1,FTF + FTT,11051,11051,Spanish,Manufacturing,,,,,,
73,1,FTF + FTT,11051,11051,Spanish,Wholesale Trade,,,,,,
73,1,FTF + FTT,11051,11051,Spanish,Retail Trade,,,,,,
73,1,FTF + FTT,11051,11051,Spanish,"Professional, Scientific, & Technical Skills",,,,,,
73,1,FTF + FTT,11051,11051,Spanish,Admin & Support & Waste Mgmt & Remediation,,,,,,
73,1,FTF + FTT,11051,11051,Spanish,Educational Services,9,19976,26724,,,
73,1,FTF + FTT,11051,11051,Spanish,Health Care & Social Assistance,6,22793,30638,,,
73,1,FTF + FTT,11051,11051,Spanish,Accommodation & Food Services,,,,,,
73,1,FTF + FTT,11051,11051,Spanish,Wages - No NAICS Code,,,,,,
73,1,FTF + FTT,15011,15011,English,Mining,,,,,,
73,1,FTF + FTT,15011,15011,English,Utilities,,,,,,
73,1,FTF + FTT,15011,15011,English,Construction,,,,,,
73,1,FTF + FTT,15011,15011,English,Manufacturing,6,67357,63933,,,
73,1,FTF + FTT,15011,15011,English,Wholesale Trade,8,36997,34733,,,
73,1,FTF + FTT,15011,15011,English,Retail Trade,20,33048,37200,,,
73,1,FTF + FTT,15011,15011,English,Information,7,32070,27495,,,
73,1,FTF + FTT,15011,15011,English,Finance & Insurance,9,51301,74509,,,
73,1,FTF + FTT,15011,15011,English,Real Estate & Rental & Leasing,,,,,,
73,1,FTF + FTT,15011,15011,English,"Professional, Scientific, & Technical Skills",8,29508,41336,,,
73,1,FTF + FTT,15011,15011,English,Management of Companies & Enterprises,,,,,,
73,1,FTF + FTT,15011,15011,English,Admin & Support & Waste Mgmt & Remediation,9,15018,35292,,,
73,1,FTF + FTT,15011,15011,English,Educational Services,27,31017,30006,10,66090,58652
73,1,FTF + FTT,15011,15011,English,Health Care & Social Assistance,7,43064,41671,,,
73,1,FTF + FTT,15011,15011,English,"Arts, Entertainment, & Recreation",,,,,,
73,1,FTF + FTT,15011,15011,English,Accommodation & Food Services,7,18618,20505,,,
73,1,FTF + FTT,15011,15011,English,Other Services,6,20625,18989,,,
73,1,FTF + FTT,15011,15011,English,Non-Classified,,,,,,
73,1,FTF + FTT,15011,15011,English,Government,8,43812,49213,,,
73,1,FTF + FTT,15011,15011,English,Wages - No NAICS Code,6,33568,35767,,,
73,1,FTF + FTT,17011,17011,Mathematics,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
73,1,FTF + FTT,17011,17011,Mathematics,Manufacturing,,,,,,
73,1,FTF + FTT,17011,17011,Mathematics,Wholesale Trade,,,,,,
73,1,FTF + FTT,17011,17011,Mathematics,Retail Trade,,,,,,
73,1,FTF + FTT,17011,17011,Mathematics,Information,,,,,,
73,1,FTF + FTT,17011,17011,Mathematics,Finance & Insurance,,,,,,
73,1,FTF + FTT,17011,17011,Mathematics,"Professional, Scientific, & Technical Skills",,,,,,
73,1,FTF + FTT,17011,17011,Mathematics,Admin & Support & Waste Mgmt & Remediation,,,,,,
73,1,FTF + FTT,17011,17011,Mathematics,Educational Services,17,27699,35728,7,68218,58120
73,1,FTF + FTT,17011,17011,Mathematics,Health Care & Social Assistance,,,,,,
73,1,FTF + FTT,17011,17011,Mathematics,"Arts, Entertainment, & Recreation",,,,,,
73,1,FTF + FTT,17011,17011,Mathematics,Accommodation & Food Services,,,,,,
73,1,FTF + FTT,17011,17011,Mathematics,Government,,,,,,
73,1,FTF + FTT,17011,17011,Mathematics,Wages - No NAICS Code,,,,,,
73,1,FTF + FTT,19025,19025,Applied Physics,Wages - No NAICS Code,,,,,,
73,1,FTF + FTT,19051,19051,Chemistry,Manufacturing,5,53665,49893,,,
73,1,FTF + FTT,19051,19051,Chemistry,Retail Trade,,,,,,
73,1,FTF + FTT,19051,19051,Chemistry,Finance & Insurance,,,,,,
73,1,FTF + FTT,19051,19051,Chemistry,Health Care & Social Assistance,,,,,,
73,1,FTF + FTT,19051,19051,Chemistry,Accommodation & Food Services,,,,,,
73,1,FTF + FTT,19051,19051,Chemistry,Government,,,,,,
73,1,FTF + FTT,19051,19051,Chemistry,Wages - No NAICS Code,,,,,,
73,1,FTF + FTT,20011 + 20013,20013,Psychology,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
73,1,FTF + FTT,20011 + 20013,20013,Psychology,Utilities,,,,,,
73,1,FTF + FTT,20011 + 20013,20013,Psychology,Construction,6,26459,30343,,,
