Campus,Location,Student Path,Entry Stat,HEGIS at ExitOLD,HEGIS at Exit,Major,industry,# of Students Found,Median Annual Earnings,Average Annual Earnings,# of Students Found,Median Annual Earnings,Average Annual Earnings
55,Dominguez Hills,1,FTF + FTT,22021,22021,Anthropology,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF + FTT,22021,22021,Anthropology,Information,,,,,,
55,Dominguez Hills,1,FTF + FTT,22021,22021,Anthropology,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF + FTT,22021,22021,Anthropology,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF + FTT,22021,22021,Anthropology,"Professional, Scientific, & Technical Skills",,,,,,
55,Dominguez Hills,1,FTF + FTT,22021,22021,Anthropology,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,Dominguez Hills,1,FTF + FTT,22021,22021,Anthropology,Educational Services,5,"$29,050 ","$38,336 ",,,
55,Dominguez Hills,1,FTF + FTT,22021,22021,Anthropology,Health Care & Social Assistance,6,"$32,605 ","$29,681 ",,,
55,Dominguez Hills,1,FTF + FTT,22021,22021,Anthropology,"Arts, Entertainment, & Recreation",,,,,,
55,Dominguez Hills,1,FTF + FTT,22021,22021,Anthropology,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,22021,22021,Anthropology,Government,,,,,,
55,Dominguez Hills,1,FTF + FTT,22021,22021,Anthropology,No Wages,99,,,124,,
55,Dominguez Hills,1,FTF + FTT,22021,22021,Anthropology,Wages - No NAICS Code,,,,,,
55,Dominguez Hills,1,FTF + FTT,22041,22041,Economics,Utilities,,,,,,
55,Dominguez Hills,1,FTF + FTT,22041,22041,Economics,Construction,,,,,,
55,Dominguez Hills,1,FTF + FTT,22041,22041,Economics,Manufacturing,,,,5,"$77,720 ","$82,886 "
55,Dominguez Hills,1,FTF + FTT,22041,22041,Economics,Wholesale Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,22041,22041,Economics,Retail Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,22041,22041,Economics,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF + FTT,22041,22041,Economics,Information,,,,,,
55,Dominguez Hills,1,FTF + FTT,22041,22041,Economics,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF + FTT,22041,22041,Economics,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF + FTT,22041,22041,Economics,"Professional, Scientific, & Technical Skills",,,,,,
55,Dominguez Hills,1,FTF + FTT,22041,22041,Economics,Admin & Support & Waste Mgmt & Remediation,6,"$56,459 ","$46,944 ",,,
55,Dominguez Hills,1,FTF + FTT,22041,22041,Economics,Educational Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,22041,22041,Economics,Health Care & Social Assistance,,,,,,
55,Dominguez Hills,1,FTF + FTT,22041,22041,Economics,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,22041,22041,Economics,Government,8,"$52,029 ","$57,214 ",6,"$74,291 ","$73,855 "
55,Dominguez Hills,1,FTF + FTT,22041,22041,Economics,No Wages,19,,,38,,
55,Dominguez Hills,1,FTF + FTT,22041,22041,Economics,Wages - No NAICS Code,,,,,,
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,Utilities,,,,,,
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,Construction,,,,,,
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,Manufacturing,6,"$74,052 ","$67,821 ",,,
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,Wholesale Trade,12,"$50,898 ","$51,305 ",7,"$64,547 ","$69,558 "
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,Retail Trade,14,"$38,521 ","$36,190 ",,,
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,Transportation & Warehousing,9,"$22,944 ","$28,986 ",,,
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,Information,,,,,,
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,Finance & Insurance,13,"$50,098 ","$53,234 ",7,"$46,804 ","$51,554 "
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,"Professional, Scientific, & Technical Skills",11,"$46,006 ","$42,915 ",6,"$44,658 ","$51,183 "
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,Admin & Support & Waste Mgmt & Remediation,6,"$29,737 ","$30,806 ",5,"$23,439 ","$41,139 "
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,Educational Services,99,"$54,881 ","$46,247 ",60,"$63,585 ","$57,666 "
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,Health Care & Social Assistance,11,"$46,616 ","$49,538 ",,,
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,"Arts, Entertainment, & Recreation",,,,,,
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,Accommodation & Food Services,9,"$30,668 ","$26,457 ",,,
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,Government,20,"$43,708 ","$52,755 ",9,"$56,451 ","$50,619 "
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,No Wages,247,,,363,,
55,Dominguez Hills,1,FTF + FTT,22051,22051,History,Wages - No NAICS Code,14,"$21,828 ","$32,886 ",9,"$40,168 ","$46,555 "
55,Dominguez Hills,1,FTF + FTT,22061 + 22063,22063,Geography,Mining,,,,,,
55,Dominguez Hills,1,FTF + FTT,22061 + 22063,22063,Geography,Utilities,,,,,,
55,Dominguez Hills,1,FTF + FTT,22061 + 22063,22063,Geography,Manufacturing,,,,,,
55,Dominguez Hills,1,FTF + FTT,22061 + 22063,22063,Geography,Wholesale Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,22061 + 22063,22063,Geography,Retail Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,22061 + 22063,22063,Geography,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF + FTT,22061 + 22063,22063,Geography,Information,,,,,,
55,Dominguez Hills,1,FTF + FTT,22061 + 22063,22063,Geography,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF + FTT,22061 + 22063,22063,Geography,"Professional, Scientific, & Technical Skills",,,,,,
55,Dominguez Hills,1,FTF + FTT,22061 + 22063,22063,Geography,Educational Services,5,"$38,638 ","$39,686 ",,,
55,Dominguez Hills,1,FTF + FTT,22061 + 22063,22063,Geography,Health Care & Social Assistance,,,,,,
55,Dominguez Hills,1,FTF + FTT,22061 + 22063,22063,Geography,"Arts, Entertainment, & Recreation",,,,,,
55,Dominguez Hills,1,FTF + FTT,22061 + 22063,22063,Geography,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,22061 + 22063,22063,Geography,Government,,,,,,
55,Dominguez Hills,1,FTF + FTT,22061 + 22063,22063,Geography,No Wages,35,,,50,,
55,Dominguez Hills,1,FTF + FTT,22061 + 22063,22063,Geography,Wages - No NAICS Code,,,,,,
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,Construction,,,,,,
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,Manufacturing,,,,,,
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,Wholesale Trade,5,"$36,150 ","$34,052 ",,,
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,Retail Trade,12,"$27,801 ","$27,996 ",,,
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,Transportation & Warehousing,7,"$53,409 ","$55,470 ",,,
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,Information,,,,,,
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,Finance & Insurance,5,"$47,381 ","$61,405 ",,,
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,"Professional, Scientific, & Technical Skills",21,"$48,968 ","$49,756 ",8,"$59,674 ","$52,635 "
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,Admin & Support & Waste Mgmt & Remediation,7,"$32,523 ","$28,268 ",,,
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,Educational Services,37,"$40,401 ","$39,746 ",23,"$59,053 ","$52,901 "
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,Health Care & Social Assistance,9,"$31,768 ","$28,372 ",,,
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,"Arts, Entertainment, & Recreation",,,,,,
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,Other Services,8,"$40,760 ","$36,362 ",,,
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,Non-Classified,,,,,,
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,Government,21,"$56,739 ","$59,862 ",16,"$58,449 ","$57,377 "
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,No Wages,195,,,273,,
55,Dominguez Hills,1,FTF + FTT,22071,22071,Political Science,Wages - No NAICS Code,12,"$3,568 ","$9,998 ",5,"$32,639 ","$33,444 "
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Utilities,,,,,,
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Construction,6,"$59,762 ","$51,433 ",,,
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Manufacturing,11,"$65,765 ","$65,921 ",9,"$55,441 ","$60,276 "
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Wholesale Trade,12,"$36,330 ","$39,226 ",,,
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Retail Trade,31,"$39,070 ","$42,740 ",7,"$47,197 ","$50,423 "
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Transportation & Warehousing,17,"$53,640 ","$58,262 ",6,"$45,361 ","$54,744 "
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Information,,,,,,
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Finance & Insurance,19,"$49,897 ","$55,854 ",16,"$53,462 ","$55,141 "
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Real Estate & Rental & Leasing,9,"$42,788 ","$40,905 ",,,
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,"Professional, Scientific, & Technical Skills",21,"$50,621 ","$50,867 ",6,"$64,777 ","$88,912 "
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Management of Companies & Enterprises,,,,,,
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Admin & Support & Waste Mgmt & Remediation,21,"$33,209 ","$31,193 ",9,"$39,172 ","$50,278 "
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Educational Services,96,"$41,629 ","$39,839 ",48,"$44,497 ","$47,900 "
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Health Care & Social Assistance,123,"$34,628 ","$35,620 ",38,"$38,342 ","$36,324 "
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,"Arts, Entertainment, & Recreation",6,"$23,369 ","$24,666 ",,,
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Accommodation & Food Services,18,"$37,955 ","$39,857 ",,,
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Other Services,16,"$34,222 ","$28,545 ",5,"$28,897 ","$31,079 "
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Non-Classified,,,,,,
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Government,163,"$58,308 ","$58,405 ",100,"$72,299 ","$73,268 "
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,No Wages,885,,,"1,223",,
55,Dominguez Hills,1,FTF + FTT,22081,22081,Sociology,Wages - No NAICS Code,37,"$16,111 ","$29,813 ",20,"$27,248 ","$41,887 "
55,Dominguez Hills,1,FTF + FTT,22111,22111,African-American Studies,Construction,,,,,,
55,Dominguez Hills,1,FTF + FTT,22111,22111,African-American Studies,Manufacturing,,,,,,
55,Dominguez Hills,1,FTF + FTT,22111,22111,African-American Studies,Retail Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,22111,22111,African-American Studies,Information,,,,,,
55,Dominguez Hills,1,FTF + FTT,22111,22111,African-American Studies,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF + FTT,22111,22111,African-American Studies,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF + FTT,22111,22111,African-American Studies,"Professional, Scientific, & Technical Skills",,,,,,
55,Dominguez Hills,1,FTF + FTT,22111,22111,African-American Studies,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,Dominguez Hills,1,FTF + FTT,22111,22111,African-American Studies,Educational Services,5,"$50,799 ","$42,099 ",,,
55,Dominguez Hills,1,FTF + FTT,22111,22111,African-American Studies,Health Care & Social Assistance,7,"$26,010 ","$22,040 ",,,
55,Dominguez Hills,1,FTF + FTT,22111,22111,African-American Studies,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,22111,22111,African-American Studies,Government,,,,,,
55,Dominguez Hills,1,FTF + FTT,22111,22111,African-American Studies,No Wages,32,,,50,,
55,Dominguez Hills,1,FTF + FTT,22111,22111,African-American Studies,Wages - No NAICS Code,,,,,,
55,Dominguez Hills,1,FTF + FTT,22131,22131,Mexican-American Studies,Utilities,,,,,,
55,Dominguez Hills,1,FTF + FTT,22131,22131,Mexican-American Studies,Manufacturing,,,,,,
55,Dominguez Hills,1,FTF + FTT,22131,22131,Mexican-American Studies,Wholesale Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,22131,22131,Mexican-American Studies,Retail Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,22131,22131,Mexican-American Studies,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF + FTT,22131,22131,Mexican-American Studies,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF + FTT,22131,22131,Mexican-American Studies,"Professional, Scientific, & Technical Skills",,,,,,
55,Dominguez Hills,1,FTF + FTT,22131,22131,Mexican-American Studies,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,Dominguez Hills,1,FTF + FTT,22131,22131,Mexican-American Studies,Educational Services,17,"$54,840 ","$53,856 ",11,"$59,385 ","$55,255 "
55,Dominguez Hills,1,FTF + FTT,22131,22131,Mexican-American Studies,Health Care & Social Assistance,11,"$33,501 ","$28,581 ",5,"$49,813 ","$50,309 "
55,Dominguez Hills,1,FTF + FTT,22131,22131,Mexican-American Studies,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,22131,22131,Mexican-American Studies,Government,,,,,,
55,Dominguez Hills,1,FTF + FTT,22131,22131,Mexican-American Studies,No Wages,36,,,55,,
55,Dominguez Hills,1,FTF + FTT,22131,22131,Mexican-American Studies,Wages - No NAICS Code,,,,,,
55,Dominguez Hills,1,FTF + FTT,22993,22993,Labor Studies,Manufacturing,5,"$66,455 ","$74,935 ",,,
55,Dominguez Hills,1,FTF + FTT,22993,22993,Labor Studies,Wholesale Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,22993,22993,Labor Studies,Retail Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,22993,22993,Labor Studies,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF + FTT,22993,22993,Labor Studies,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF + FTT,22993,22993,Labor Studies,Educational Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,22993,22993,Labor Studies,Health Care & Social Assistance,,,,,,
55,Dominguez Hills,1,FTF + FTT,22993,22993,Labor Studies,"Arts, Entertainment, & Recreation",,,,,,
55,Dominguez Hills,1,FTF + FTT,22993,22993,Labor Studies,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,22993,22993,Labor Studies,Government,,,,,,
55,Dominguez Hills,1,FTF + FTT,22993,22993,Labor Studies,No Wages,20,,,31,,
55,Dominguez Hills,1,FTF + FTT,22993,22993,Labor Studies,Wages - No NAICS Code,,,,,,
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Utilities,,,,,,
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Construction,10,"$58,414 ","$62,909 ",7,"$55,687 ","$68,079 "
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Manufacturing,27,"$54,118 ","$54,520 ",13,"$69,102 ","$68,651 "
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Wholesale Trade,19,"$54,026 ","$53,496 ",11,"$44,207 ","$48,039 "
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Retail Trade,53,"$37,226 ","$39,223 ",22,"$39,996 ","$47,641 "
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Transportation & Warehousing,24,"$35,563 ","$40,898 ",17,"$43,459 ","$50,900 "
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Information,8,"$45,869 ","$47,354 ",,,
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Finance & Insurance,31,"$41,585 ","$42,398 ",7,"$47,488 ","$59,921 "
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Real Estate & Rental & Leasing,9,"$40,537 ","$45,539 ",8,"$58,964 ","$54,529 "
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,"Professional, Scientific, & Technical Skills",22,"$44,300 ","$40,401 ",14,"$48,204 ","$51,020 "
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Management of Companies & Enterprises,,,,,,
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Admin & Support & Waste Mgmt & Remediation,28,"$32,802 ","$30,503 ",19,"$29,916 ","$38,700 "
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Educational Services,"1,304","$52,277 ","$46,183 ",875,"$65,127 ","$58,732 "
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Health Care & Social Assistance,105,"$33,091 ","$34,018 ",60,"$38,218 ","$36,063 "
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,"Arts, Entertainment, & Recreation",10,"$24,745 ","$28,591 ",6,"$13,238 ","$14,248 "
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Accommodation & Food Services,32,"$23,526 ","$26,457 ",11,"$34,682 ","$33,603 "
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Other Services,31,"$25,948 ","$28,046 ",17,"$25,677 ","$31,175 "
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Non-Classified,,,,,,
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Government,72,"$49,713 ","$51,220 ",51,"$57,939 ","$60,207 "
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,No Wages,"1,024",,,"1,693",,
55,Dominguez Hills,1,FTF + FTT,49012 + 49017,49017,Women's Studies,Wages - No NAICS Code,57,"$7,070 ","$16,068 ",34,"$4,217 ","$28,791 "
55,Dominguez Hills,1,FTF,00121 + 12031 + 12032,12032,Nursing,Health Care & Social Assistance,,,,,,
55,Dominguez Hills,1,FTF,00121 + 12031 + 12032,12032,Nursing,No Wages,,,,6,,
55,Dominguez Hills,1,FTF,4011,4011,Biology,Utilities,,,,,,
55,Dominguez Hills,1,FTF,4011,4011,Biology,Manufacturing,10,"$51,457 ","$52,023 ",5,"$69,450 ","$70,655 "
55,Dominguez Hills,1,FTF,4011,4011,Biology,Wholesale Trade,,,,,,
55,Dominguez Hills,1,FTF,4011,4011,Biology,Retail Trade,,,,,,
55,Dominguez Hills,1,FTF,4011,4011,Biology,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF,4011,4011,Biology,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF,4011,4011,Biology,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF,4011,4011,Biology,"Professional, Scientific, & Technical Skills",7,"$44,173 ","$40,225 ",,,
55,Dominguez Hills,1,FTF,4011,4011,Biology,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,Dominguez Hills,1,FTF,4011,4011,Biology,Educational Services,7,"$39,621 ","$39,170 ",,,
55,Dominguez Hills,1,FTF,4011,4011,Biology,Health Care & Social Assistance,11,"$49,708 ","$60,048 ",,,
55,Dominguez Hills,1,FTF,4011,4011,Biology,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF,4011,4011,Biology,Government,7,"$65,734 ","$58,311 ",,,
55,Dominguez Hills,1,FTF,4011,4011,Biology,No Wages,100,,,137,,
55,Dominguez Hills,1,FTF,4011,4011,Biology,Wages - No NAICS Code,,,,,,
55,Dominguez Hills,1,FTF,4141,4141,Biochemistry,Manufacturing,,,,,,
55,Dominguez Hills,1,FTF,4141,4141,Biochemistry,"Professional, Scientific, & Technical Skills",,,,,,
55,Dominguez Hills,1,FTF,4141,4141,Biochemistry,No Wages,15,,,17,,
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,Utilities,,,,,,
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,Construction,7,"$64,208 ","$55,045 ",7,"$67,805 ","$63,484 "
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,Manufacturing,25,"$48,862 ","$51,682 ",12,"$81,310 ","$74,569 "
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,Wholesale Trade,16,"$42,318 ","$37,862 ",7,"$51,256 ","$45,641 "
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,Retail Trade,48,"$36,512 ","$42,304 ",16,"$53,339 ","$53,364 "
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,Transportation & Warehousing,24,"$47,462 ","$48,250 ",12,"$67,348 ","$68,198 "
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,Information,24,"$60,363 ","$65,396 ",8,"$69,225 ","$70,037 "
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,Finance & Insurance,45,"$52,852 ","$53,982 ",19,"$61,575 ","$65,700 "
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,Real Estate & Rental & Leasing,23,"$42,808 ","$49,713 ",10,"$81,196 ","$68,651 "
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,"Professional, Scientific, & Technical Skills",39,"$47,686 ","$51,406 ",16,"$49,723 ","$55,828 "
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,Management of Companies & Enterprises,,,,,,
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,Admin & Support & Waste Mgmt & Remediation,37,"$33,058 ","$38,198 ",7,"$18,463 ","$28,572 "
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,Educational Services,30,"$34,247 ","$33,594 ",9,"$46,356 ","$44,172 "
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,Health Care & Social Assistance,20,"$47,923 ","$47,391 ",11,"$59,631 ","$58,593 "
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,"Arts, Entertainment, & Recreation",,,,,,
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,Accommodation & Food Services,15,"$40,110 ","$39,235 ",,,
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,Other Services,6,"$49,531 ","$48,765 ",,,
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,Government,16,"$54,064 ","$52,354 ",14,"$66,435 ","$68,560 "
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,No Wages,488,,,724,,
55,Dominguez Hills,1,FTF,5011,5011,Business Administration,Wages - No NAICS Code,22,"$36,443 ","$40,077 ",11,"$52,755 ","$52,476 "
55,Dominguez Hills,1,FTF,05082 + 05083,5083,Travel and Tourism/Tourism Management,Retail Trade,,,,,,
55,Dominguez Hills,1,FTF,05082 + 05083,5083,Travel and Tourism/Tourism Management,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF,05082 + 05083,5083,Travel and Tourism/Tourism Management,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF,05082 + 05083,5083,Travel and Tourism/Tourism Management,Educational Services,,,,,,
55,Dominguez Hills,1,FTF,05082 + 05083,5083,Travel and Tourism/Tourism Management,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF,05082 + 05083,5083,Travel and Tourism/Tourism Management,Government,,,,,,
55,Dominguez Hills,1,FTF,6011,6011,Communications,Utilities,,,,,,
55,Dominguez Hills,1,FTF,6011,6011,Communications,Construction,,,,,,
55,Dominguez Hills,1,FTF,6011,6011,Communications,Manufacturing,,,,,,
55,Dominguez Hills,1,FTF,6011,6011,Communications,Wholesale Trade,,,,,,
55,Dominguez Hills,1,FTF,6011,6011,Communications,Retail Trade,8,"$30,903 ","$34,728 ",,,
55,Dominguez Hills,1,FTF,6011,6011,Communications,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF,6011,6011,Communications,Information,15,"$49,309 ","$45,467 ",7,"$78,002 ","$75,176 "
55,Dominguez Hills,1,FTF,6011,6011,Communications,Finance & Insurance,10,"$41,202 ","$36,735 ",5,"$52,692 ","$59,256 "
55,Dominguez Hills,1,FTF,6011,6011,Communications,Real Estate & Rental & Leasing,,,,,,
55,Dominguez Hills,1,FTF,6011,6011,Communications,"Professional, Scientific, & Technical Skills",12,"$39,609 ","$41,884 ",6,"$56,558 ","$59,059 "
55,Dominguez Hills,1,FTF,6011,6011,Communications,Admin & Support & Waste Mgmt & Remediation,14,"$35,951 ","$38,658 ",,,
55,Dominguez Hills,1,FTF,6011,6011,Communications,Educational Services,11,"$23,579 ","$25,148 ",7,"$47,880 ","$41,062 "
55,Dominguez Hills,1,FTF,6011,6011,Communications,Health Care & Social Assistance,7,"$36,151 ","$43,187 ",,,
55,Dominguez Hills,1,FTF,6011,6011,Communications,"Arts, Entertainment, & Recreation",,,,,,
55,Dominguez Hills,1,FTF,6011,6011,Communications,Accommodation & Food Services,5,"$27,536 ","$24,592 ",,,
55,Dominguez Hills,1,FTF,6011,6011,Communications,Other Services,8,"$33,682 ","$34,598 ",,,
55,Dominguez Hills,1,FTF,6011,6011,Communications,Non-Classified,,,,,,
55,Dominguez Hills,1,FTF,6011,6011,Communications,Government,6,"$80,898 ","$79,404 ",7,"$59,473 ","$79,288 "
55,Dominguez Hills,1,FTF,6011,6011,Communications,No Wages,155,,,218,,
55,Dominguez Hills,1,FTF,6011,6011,Communications,Wages - No NAICS Code,9,"$12,399 ","$25,521 ",6,"$30,885 ","$38,546 "
55,Dominguez Hills,1,FTF,6991,6991,Multimedia,Retail Trade,,,,,,
55,Dominguez Hills,1,FTF,6991,6991,Multimedia,Information,,,,,,
55,Dominguez Hills,1,FTF,6991,6991,Multimedia,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF,6991,6991,Multimedia,"Professional, Scientific, & Technical Skills",,,,,,
55,Dominguez Hills,1,FTF,6991,6991,Multimedia,Admin & Support & Waste Mgmt & Remediation,,,,,,
55,Dominguez Hills,1,FTF,6991,6991,Multimedia,Educational Services,,,,,,
