Campus,Location,Student Path,Entry Stat,HEGIS at ExitOLD,HEGIS at Exit,Major,industry,# of Students Found,Median Annual Earnings,Average Annual Earnings,# of Students Found,Median Annual Earnings,Average Annual Earnings
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Transportation & Warehousing,141,"$51,323 ","$54,102 ",70,"$62,460 ","$68,891 "
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Information,85,"$60,067 ","$64,433 ",33,"$68,469 ","$74,210 "
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Finance & Insurance,225,"$55,868 ","$59,154 ",117,"$65,189 ","$73,026 "
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Real Estate & Rental & Leasing,87,"$51,045 ","$55,004 ",32,"$66,910 ","$71,281 "
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,"Professional, Scientific, & Technical Skills",247,"$53,750 ","$55,920 ",119,"$62,123 ","$71,707 "
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Management of Companies & Enterprises,10,"$63,424 ","$58,250 ",8,"$78,235 ","$67,482 "
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Admin & Support & Waste Mgmt & Remediation,165,"$38,109 ","$43,812 ",54,"$40,477 ","$48,245 "
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Educational Services,164,"$47,921 ","$48,601 ",83,"$53,670 ","$51,412 "
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Health Care & Social Assistance,122,"$47,456 ","$50,298 ",73,"$54,633 ","$61,365 "
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,"Arts, Entertainment, & Recreation",23,"$39,848 ","$57,321 ",10,"$37,617 ","$35,561 "
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Accommodation & Food Services,83,"$34,975 ","$36,631 ",25,"$43,189 ","$46,617 "
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Other Services,49,"$51,648 ","$51,043 ",25,"$66,007 ","$66,799 "
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Non-Classified,,,,,,
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Government,184,"$63,435 ","$65,321 ",111,"$76,961 ","$78,462 "
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,No Wages,"2,529",,,"3,760",,
55,Dominguez Hills,1,FTF + FTT,5011,5011,Business Administration,Wages - No NAICS Code,125,"$31,087 ","$43,019 ",58,"$55,118 ","$58,897 "
55,Dominguez Hills,1,FTF + FTT,5041,5041,Finance,Information,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,5083,Travel and Tourism/Tourism Management,Retail Trade,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,5083,Travel and Tourism/Tourism Management,Transportation & Warehousing,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,5083,Travel and Tourism/Tourism Management,Finance & Insurance,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,5083,Travel and Tourism/Tourism Management,Educational Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,5083,Travel and Tourism/Tourism Management,Health Care & Social Assistance,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,5083,Travel and Tourism/Tourism Management,Accommodation & Food Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,5083,Travel and Tourism/Tourism Management,Government,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,5083,Travel and Tourism/Tourism Management,No Wages,,,,,,
55,Dominguez Hills,1,FTF + FTT,05082 + 05083,5083,Travel and Tourism/Tourism Management,Wages - No NAICS Code,,,,,,
55,Dominguez Hills,1,FTF + FTT,5131,5131,International Business,Other Services,,,,,,
55,Dominguez Hills,1,FTF + FTT,5131,5131,International Business,No Wages,,,,,,
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Utilities,5,"$60,140 ","$63,611 ",,,
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Construction,5,"$41,552 ","$39,438 ",,,
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Manufacturing,26,"$49,790 ","$54,477 ",13,"$51,117 ","$54,690 "
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Wholesale Trade,20,"$39,058 ","$48,132 ",12,"$71,147 ","$71,246 "
55,Dominguez Hills,1,FTF + FTT,6011,6011,Communications,Retail Trade,35,"$30,184 ","$36,333 ",15,"$51,032 ","$49,329 "
