Campus,Location,Student Path,Entry Stat,HEGIS at Exit,Major,Industry,# of Students Found 5 years after exit,Median Annual Earnings 5 years after exit,Average Annual Earnings 5 years after exit,# of Students Found 10 years after exit,Median Annual Earnings 10 years after exit,Average Annual Earnings 10 years after exit
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Utilities,5,"$110,956","$98,022",,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Construction,,,,,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Manufacturing,11,"$42,803","$46,834",7,"$41,737","$49,034"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Wholesale Trade,12,"$62,199","$67,130",5,"$66,726","$91,383"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Retail Trade,19,"$31,648","$28,746",7,"$32,727","$28,813"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Transportation & Warehousing,,,,,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Information,7,"$37,079","$40,292",,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Finance & Insurance,22,"$53,114","$52,364",13,"$51,113","$61,922"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Real Estate & Rental & Leasing,5,"$26,758","$28,228",,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,"Professional, Scientific, & Technical Skills",25,"$46,853","$48,806",13,"$43,467","$62,759"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Management of Companies & Enterprises,,,,,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Admin & Support & Waste Mgmt & Remediation,16,"$33,662","$37,107",10,"$24,708","$23,041"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Educational Services,199,"$52,878","$47,187",122,"$66,462","$59,715"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Health Care & Social Assistance,67,"$38,512","$41,929",44,"$39,165","$40,072"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,"Arts, Entertainment, & Recreation",,,,,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Accommodation & Food Services,10,"$26,279","$29,292",6,"$36,207","$68,103"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Other Services,7,"$27,385","$36,306",,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Government,50,"$54,325","$57,943",44,"$65,788","$66,928"
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,No Wages,204,,,386,,
45,Los Angeles,1,FTF + FTT,00000,Undeclared/Unknown,Wages - No NAICS Code,31,"$7,063","$21,455",22,"$10,356","$34,013"
45,Los Angeles,1,FTF + FTT,00121 + 12031 + 12032,Nursing,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
45,Los Angeles,1,FTF + FTT,00121 + 12031 + 12032,Nursing,Wholesale Trade,,,,,,
45,Los Angeles,1,FTF + FTT,00121 + 12031 + 12032,Nursing,Retail Trade,,,,,,
45,Los Angeles,1,FTF + FTT,00121 + 12031 + 12032,Nursing,Transportation & Warehousing,,,,,,
45,Los Angeles,1,FTF + FTT,00121 + 12031 + 12032,Nursing,Finance & Insurance,,,,6,"$92,131","$95,630"
45,Los Angeles,1,FTF + FTT,00121 + 12031 + 12032,Nursing,"Professional, Scientific, & Technical Skills",,,,,,
45,Los Angeles,1,FTF + FTT,00121 + 12031 + 12032,Nursing,Admin & Support & Waste Mgmt & Remediation,22,"$49,040","$48,762",5,"$41,716","$56,582"
45,Los Angeles,1,FTF + FTT,00121 + 12031 + 12032,Nursing,Educational Services,96,"$96,177","$93,940",50,"$102,008","$102,800"
45,Los Angeles,1,FTF + FTT,00121 + 12031 + 12032,Nursing,Health Care & Social Assistance,470,"$92,466","$94,212",226,"$105,965","$104,389"
45,Los Angeles,1,FTF + FTT,00121 + 12031 + 12032,Nursing,Accommodation & Food Services,,,,,,
45,Los Angeles,1,FTF + FTT,00121 + 12031 + 12032,Nursing,Other Services,,,,,,
45,Los Angeles,1,FTF + FTT,00121 + 12031 + 12032,Nursing,Government,75,"$91,076","$92,172",36,"$103,692","$103,252"
45,Los Angeles,1,FTF + FTT,00121 + 12031 + 12032,Nursing,No Wages,451,,,810,,
45,Los Angeles,1,FTF + FTT,00121 + 12031 + 12032,Nursing,Wages - No NAICS Code,13,"$14,508","$47,572",6,"$13,405","$19,358"
45,Los Angeles,1,FTF + FTT,01130 + 01131,Food Science and Technology,No Wages,21,,,21,,
45,Los Angeles,1,FTF + FTT,03081 + 03085,Latin/Central American Studies,Construction,,,,,,
45,Los Angeles,1,FTF + FTT,03081 + 03085,Latin/Central American Studies,Wholesale Trade,,,,,,
45,Los Angeles,1,FTF + FTT,03081 + 03085,Latin/Central American Studies,Retail Trade,,,,,,
45,Los Angeles,1,FTF + FTT,03081 + 03085,Latin/Central American Studies,Transportation & Warehousing,,,,,,
45,Los Angeles,1,FTF + FTT,03081 + 03085,Latin/Central American Studies,Information,,,,,,
45,Los Angeles,1,FTF + FTT,03081 + 03085,Latin/Central American Studies,Finance & Insurance,,,,,,
45,Los Angeles,1,FTF + FTT,03081 + 03085,Latin/Central American Studies,Real Estate & Rental & Leasing,,,,,,
45,Los Angeles,1,FTF + FTT,03081 + 03085,Latin/Central American Studies,"Professional, Scientific, & Technical Skills",,,,,,
45,Los Angeles,1,FTF + FTT,03081 + 03085,Latin/Central American Studies,Admin & Support & Waste Mgmt & Remediation,,,,,,
45,Los Angeles,1,FTF + FTT,03081 + 03085,Latin/Central American Studies,Educational Services,24,"$33,586","$39,907",20,"$48,235","$44,551"
45,Los Angeles,1,FTF + FTT,03081 + 03085,Latin/Central American Studies,Health Care & Social Assistance,,,,,,
45,Los Angeles,1,FTF + FTT,03081 + 03085,Latin/Central American Studies,Other Services,,,,,,
45,Los Angeles,1,FTF + FTT,03081 + 03085,Latin/Central American Studies,Government,,,,,,
45,Los Angeles,1,FTF + FTT,03081 + 03085,Latin/Central American Studies,No Wages,26,,,43,,
45,Los Angeles,1,FTF + FTT,03081 + 03085,Latin/Central American Studies,Wages - No NAICS Code,,,,,,
45,Los Angeles,1,FTF + FTT,04011,Biology,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
45,Los Angeles,1,FTF + FTT,04011,Biology,Utilities,,,,,,
45,Los Angeles,1,FTF + FTT,04011,Biology,Construction,,,,,,
45,Los Angeles,1,FTF + FTT,04011,Biology,Manufacturing,31,"$53,510","$51,001",11,"$80,302","$74,160"
45,Los Angeles,1,FTF + FTT,04011,Biology,Wholesale Trade,11,"$48,317","$63,666",6,"$77,724","$128,892"
45,Los Angeles,1,FTF + FTT,04011,Biology,Retail Trade,16,"$20,033","$30,044",5,"$38,592","$96,146"
45,Los Angeles,1,FTF + FTT,04011,Biology,Transportation & Warehousing,,,,,,
45,Los Angeles,1,FTF + FTT,04011,Biology,Information,,,,,,
45,Los Angeles,1,FTF + FTT,04011,Biology,Finance & Insurance,6,"$53,589","$55,114",,,
45,Los Angeles,1,FTF + FTT,04011,Biology,Real Estate & Rental & Leasing,,,,,,
45,Los Angeles,1,FTF + FTT,04011,Biology,"Professional, Scientific, & Technical Skills",22,"$36,692","$38,796",9,"$56,072","$62,935"
45,Los Angeles,1,FTF + FTT,04011,Biology,Management of Companies & Enterprises,,,,,,
45,Los Angeles,1,FTF + FTT,04011,Biology,Admin & Support & Waste Mgmt & Remediation,17,"$30,716","$37,749",,,
45,Los Angeles,1,FTF + FTT,04011,Biology,Educational Services,42,"$50,864","$43,691",22,"$66,811","$70,460"
45,Los Angeles,1,FTF + FTT,04011,Biology,Health Care & Social Assistance,55,"$40,412","$43,926",31,"$54,969","$59,228"
45,Los Angeles,1,FTF + FTT,04011,Biology,"Arts, Entertainment, & Recreation",5,"$39,693","$38,307",,,
45,Los Angeles,1,FTF + FTT,04011,Biology,Accommodation & Food Services,,,,,,
45,Los Angeles,1,FTF + FTT,04011,Biology,Other Services,,,,,,
45,Los Angeles,1,FTF + FTT,04011,Biology,Government,12,"$50,101","$53,879",8,"$90,623","$103,649"
45,Los Angeles,1,FTF + FTT,04011,Biology,No Wages,596,,,732,,
45,Los Angeles,1,FTF + FTT,04011,Biology,Wages - No NAICS Code,12,"$6,413","$14,852",,,
45,Los Angeles,1,FTF + FTT,04111,Microbiology,Utilities,,,,,,
45,Los Angeles,1,FTF + FTT,04111,Microbiology,Manufacturing,11,"$51,422","$51,227",,,
45,Los Angeles,1,FTF + FTT,04111,Microbiology,Wholesale Trade,,,,,,
45,Los Angeles,1,FTF + FTT,04111,Microbiology,Retail Trade,,,,,,
45,Los Angeles,1,FTF + FTT,04111,Microbiology,Finance & Insurance,,,,,,
45,Los Angeles,1,FTF + FTT,04111,Microbiology,Real Estate & Rental & Leasing,,,,,,
45,Los Angeles,1,FTF + FTT,04111,Microbiology,"Professional, Scientific, & Technical Skills",,,,,,
45,Los Angeles,1,FTF + FTT,04111,Microbiology,Admin & Support & Waste Mgmt & Remediation,,,,,,
45,Los Angeles,1,FTF + FTT,04111,Microbiology,Educational Services,6,"$41,303","$44,264",,,
45,Los Angeles,1,FTF + FTT,04111,Microbiology,Health Care & Social Assistance,17,"$66,684","$62,116",13,"$100,149","$97,123"
45,Los Angeles,1,FTF + FTT,04111,Microbiology,Accommodation & Food Services,,,,,,
45,Los Angeles,1,FTF + FTT,04111,Microbiology,Government,6,"$72,826","$69,557",5,"$74,335","$74,582"
45,Los Angeles,1,FTF + FTT,04111,Microbiology,No Wages,65,,,90,,
45,Los Angeles,1,FTF + FTT,04111,Microbiology,Wages - No NAICS Code,,,,,,
45,Los Angeles,1,FTF + FTT,04141,Biochemistry,Manufacturing,14,"$56,120","$56,504",,,
45,Los Angeles,1,FTF + FTT,04141,Biochemistry,Wholesale Trade,5,"$26,191","$36,642",,,
45,Los Angeles,1,FTF + FTT,04141,Biochemistry,Retail Trade,5,"$21,209","$25,478",,,
45,Los Angeles,1,FTF + FTT,04141,Biochemistry,Finance & Insurance,,,,,,
45,Los Angeles,1,FTF + FTT,04141,Biochemistry,"Professional, Scientific, & Technical Skills",7,"$49,149","$55,826",5,"$74,711","$72,785"
45,Los Angeles,1,FTF + FTT,04141,Biochemistry,Admin & Support & Waste Mgmt & Remediation,,,,,,
45,Los Angeles,1,FTF + FTT,04141,Biochemistry,Educational Services,6,"$61,830","$57,157",,,
45,Los Angeles,1,FTF + FTT,04141,Biochemistry,Health Care & Social Assistance,6,"$39,098","$36,859",6,"$40,467","$62,753"
45,Los Angeles,1,FTF + FTT,04141,Biochemistry,Accommodation & Food Services,,,,,,
45,Los Angeles,1,FTF + FTT,04141,Biochemistry,Government,7,"$59,191","$58,047",,,
45,Los Angeles,1,FTF + FTT,04141,Biochemistry,No Wages,143,,,174,,
45,Los Angeles,1,FTF + FTT,04141,Biochemistry,Wages - No NAICS Code,,,,,,
45,Los Angeles,1,FTF + FTT,05011,Business Administration,"Agriculture, Forestry, Fishing, & Hunting",13,"$27,644","$33,694",6,"$17,842","$17,723"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Mining,,,,,,
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Utilities,51,"$79,475","$88,427",35,"$90,373","$89,804"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Construction,50,"$51,440","$50,986",32,"$53,118","$54,186"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Manufacturing,210,"$54,547","$55,238",95,"$67,146","$73,931"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Wholesale Trade,371,"$44,371","$47,828",176,"$50,038","$59,114"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Retail Trade,324,"$42,958","$46,747",124,"$58,094","$60,775"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Transportation & Warehousing,121,"$44,498","$46,890",57,"$53,418","$62,786"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Information,212,"$53,793","$57,509",91,"$66,370","$73,143"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Finance & Insurance,690,"$55,803","$59,305",302,"$67,527","$75,301"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Real Estate & Rental & Leasing,147,"$52,525","$54,220",69,"$62,315","$74,136"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,"Professional, Scientific, & Technical Skills",487,"$57,480","$58,203",202,"$64,690","$72,089"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Management of Companies & Enterprises,14,"$59,725","$62,257",7,"$68,607","$74,620"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Admin & Support & Waste Mgmt & Remediation,226,"$41,876","$44,670",106,"$48,868","$52,333"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Educational Services,224,"$47,443","$45,541",127,"$54,404","$54,640"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Health Care & Social Assistance,280,"$44,151","$45,310",147,"$54,871","$59,068"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,"Arts, Entertainment, & Recreation",38,"$40,280","$40,173",18,"$42,666","$48,524"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Accommodation & Food Services,114,"$33,780","$35,581",35,"$35,697","$41,427"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Other Services,87,"$38,883","$38,769",39,"$47,520","$52,482"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Non-Classified,10,"$22,407","$28,630",7,"$23,400","$26,234"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Government,407,"$57,686","$58,376",268,"$65,193","$68,518"
45,Los Angeles,1,FTF + FTT,05011,Business Administration,No Wages,"5,070",,,"7,365",,
45,Los Angeles,1,FTF + FTT,05011,Business Administration,Wages - No NAICS Code,297,"$35,100","$41,955",135,"$44,770","$62,558"
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Utilities,,,,,,
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Construction,,,,,,
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Manufacturing,18,"$42,774","$44,964",9,"$58,463","$61,940"
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Wholesale Trade,19,"$42,871","$41,186",9,"$51,845","$51,485"
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Retail Trade,33,"$24,142","$32,470",14,"$27,369","$32,751"
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Transportation & Warehousing,6,"$35,248","$29,675",,,
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Information,164,"$42,321","$44,762",74,"$66,747","$73,416"
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Finance & Insurance,29,"$46,360","$46,931",10,"$58,513","$55,136"
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Real Estate & Rental & Leasing,8,"$46,715","$40,848",,,
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,"Professional, Scientific, & Technical Skills",63,"$43,167","$44,092",37,"$59,083","$64,874"
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Management of Companies & Enterprises,,,,,,
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Admin & Support & Waste Mgmt & Remediation,40,"$30,815","$29,558",18,"$28,873","$30,142"
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Educational Services,32,"$35,261","$34,593",23,"$44,772","$44,359"
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Health Care & Social Assistance,34,"$26,968","$31,206",13,"$28,387","$33,597"
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,"Arts, Entertainment, & Recreation",24,"$25,374","$27,121",11,"$56,688","$66,958"
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Accommodation & Food Services,24,"$19,604","$26,180",7,"$33,465","$38,139"
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Other Services,13,"$35,168","$34,712",,,
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Non-Classified,,,,,,
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Government,28,"$39,094","$48,589",11,"$62,344","$60,161"
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,No Wages,780,,,"1,086",,
45,Los Angeles,1,FTF + FTT,06031,Radio/Television/Broadcast,Wages - No NAICS Code,31,"$4,220","$12,678",20,"$13,107","$16,989"
45,Los Angeles,1,FTF + FTT,06994 + 08392,Graphic Communications,Manufacturing,,,,,,
45,Los Angeles,1,FTF + FTT,06994 + 08392,Graphic Communications,Wholesale Trade,,,,,,
45,Los Angeles,1,FTF + FTT,06994 + 08392,Graphic Communications,"Professional, Scientific, & Technical Skills",,,,,,
45,Los Angeles,1,FTF + FTT,06994 + 08392,Graphic Communications,Educational Services,,,,,,
45,Los Angeles,1,FTF + FTT,06994 + 08392,Graphic Communications,No Wages,8,,,13,,
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,Utilities,5,"$101,563","$101,193",6,"$114,715","$119,894"
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,Construction,,,,,,
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,Manufacturing,12,"$78,981","$86,781",7,"$96,091","$92,648"
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,Wholesale Trade,10,"$48,949","$50,440",7,"$67,664","$71,811"
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,Retail Trade,9,"$56,824","$57,972",,,
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,Transportation & Warehousing,,,,,,
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,Information,30,"$68,659","$80,608",15,"$113,689","$129,214"
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,Finance & Insurance,15,"$86,849","$80,269",12,"$91,335","$90,177"
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,"Professional, Scientific, & Technical Skills",34,"$72,284","$74,246",24,"$73,815","$73,328"
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,Admin & Support & Waste Mgmt & Remediation,10,"$65,680","$60,926",5,"$121,654","$112,082"
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,Educational Services,7,"$49,649","$52,520",6,"$60,914","$62,655"
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,Health Care & Social Assistance,7,"$83,628","$82,651",6,"$92,671","$81,969"
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,"Arts, Entertainment, & Recreation",,,,,,
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,Accommodation & Food Services,,,,,,
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,Other Services,,,,,,
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,Government,19,"$73,269","$70,910",14,"$95,255","$97,450"
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,No Wages,213,,,273,,
45,Los Angeles,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,Wages - No NAICS Code,8,"$8,084","$29,885",6,"$6,467","$14,632"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
45,Los Angeles,1,FTF + FTT,07021,Information Systems,Utilities,12,"$93,210","$95,044",17,"$110,364","$104,069"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,Construction,,,,5,"$98,421","$99,839"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,Manufacturing,25,"$57,703","$55,824",22,"$67,183","$70,712"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,Wholesale Trade,61,"$46,601","$46,778",37,"$50,901","$59,351"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,Retail Trade,46,"$40,267","$49,314",27,"$55,471","$62,414"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,Transportation & Warehousing,31,"$49,081","$51,303",23,"$56,593","$59,570"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,Information,48,"$60,257","$72,503",31,"$96,963","$94,496"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,Finance & Insurance,79,"$56,342","$59,088",59,"$63,420","$70,016"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,Real Estate & Rental & Leasing,9,"$38,208","$38,163",6,"$59,430","$61,556"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,"Professional, Scientific, & Technical Skills",104,"$55,172","$59,940",60,"$70,475","$74,713"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,Management of Companies & Enterprises,,,,,,
45,Los Angeles,1,FTF + FTT,07021,Information Systems,Admin & Support & Waste Mgmt & Remediation,36,"$56,275","$57,999",21,"$70,861","$65,983"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,Educational Services,58,"$59,579","$60,176",51,"$62,915","$69,538"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,Health Care & Social Assistance,39,"$44,300","$51,024",33,"$46,883","$54,822"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,"Arts, Entertainment, & Recreation",8,"$40,811","$42,103",7,"$67,077","$65,644"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,Accommodation & Food Services,18,"$50,692","$43,899",12,"$52,081","$56,768"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,Other Services,12,"$53,747","$54,795",11,"$48,626","$55,282"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,Government,109,"$67,421","$67,894",104,"$77,690","$78,090"
45,Los Angeles,1,FTF + FTT,07021,Information Systems,No Wages,567,,,759,,
45,Los Angeles,1,FTF + FTT,07021,Information Systems,Wages - No NAICS Code,46,"$17,915","$37,178",26,"$14,776","$38,036"
45,Los Angeles,1,FTF + FTT,08011 + 08031 + 08081 + 08225,Education,Utilities,,,,,,
45,Los Angeles,1,FTF + FTT,08011 + 08031 + 08081 + 08225,Education,Construction,,,,,,
45,Los Angeles,1,FTF + FTT,08011 + 08031 + 08081 + 08225,Education,Manufacturing,,,,,,
45,Los Angeles,1,FTF + FTT,08011 + 08031 + 08081 + 08225,Education,Retail Trade,,,,,,
45,Los Angeles,1,FTF + FTT,08011 + 08031 + 08081 + 08225,Education,Information,,,,,,
45,Los Angeles,1,FTF + FTT,08011 + 08031 + 08081 + 08225,Education,"Professional, Scientific, & Technical Skills",,,,,,
45,Los Angeles,1,FTF + FTT,08011 + 08031 + 08081 + 08225,Education,Admin & Support & Waste Mgmt & Remediation,,,,,,
45,Los Angeles,1,FTF + FTT,08011 + 08031 + 08081 + 08225,Education,Educational Services,31,"$59,997","$54,353",26,"$60,695","$54,486"
45,Los Angeles,1,FTF + FTT,08011 + 08031 + 08081 + 08225,Education,Health Care & Social Assistance,6,"$41,166","$40,178",6,"$53,316","$50,407"
45,Los Angeles,1,FTF + FTT,08011 + 08031 + 08081 + 08225,Education,"Arts, Entertainment, & Recreation",,,,,,
45,Los Angeles,1,FTF + FTT,08011 + 08031 + 08081 + 08225,Education,Government,,,,,,
45,Los Angeles,1,FTF + FTT,08011 + 08031 + 08081 + 08225,Education,No Wages,13,,,18,,
45,Los Angeles,1,FTF + FTT,08011 + 08031 + 08081 + 08225,Education,Wages - No NAICS Code,,,,,,
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,"Agriculture, Forestry, Fishing, & Hunting",,,,,,
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,Utilities,,,,5,"$82,729","$72,457"
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,Construction,,,,,,
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,Manufacturing,18,"$44,354","$44,132",6,"$74,610","$66,014"
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,Wholesale Trade,18,"$31,639","$41,286",11,"$47,661","$66,479"
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,Retail Trade,29,"$34,514","$36,021",15,"$42,160","$44,890"
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,Transportation & Warehousing,12,"$23,762","$30,686",6,"$35,270","$29,687"
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,Information,,,,,,
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,Finance & Insurance,29,"$42,158","$42,972",14,"$35,440","$39,166"
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,Real Estate & Rental & Leasing,6,"$42,635","$37,782",,,
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,"Professional, Scientific, & Technical Skills",20,"$37,443","$37,930",19,"$36,053","$40,113"
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,Admin & Support & Waste Mgmt & Remediation,34,"$28,254","$46,277",17,"$34,875","$33,227"
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,Educational Services,755,"$44,902","$42,147",495,"$59,861","$54,530"
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,Health Care & Social Assistance,364,"$33,201","$32,942",174,"$38,366","$36,843"
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,"Arts, Entertainment, & Recreation",7,"$27,496","$28,586",,,
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,Accommodation & Food Services,8,"$22,940","$24,977",,,
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,Other Services,27,"$33,150","$35,570",13,"$36,461","$36,541"
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,Non-Classified,,,,,,
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,Government,104,"$55,082","$56,965",90,"$63,736","$63,862"
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,No Wages,909,,,"1,481",,
45,Los Angeles,1,FTF + FTT,08231 + 08232,Child Development,Wages - No NAICS Code,39,"$8,016","$13,533",35,"$6,063","$20,349"
45,Los Angeles,1,FTF + FTT,08351,Kinesiology,Utilities,,,,,,
45,Los Angeles,1,FTF + FTT,08351,Kinesiology,Construction,,,,,,
45,Los Angeles,1,FTF + FTT,08351,Kinesiology,Manufacturing,,,,,,
45,Los Angeles,1,FTF + FTT,08351,Kinesiology,Wholesale Trade,,,,,,
45,Los Angeles,1,FTF + FTT,08351,Kinesiology,Retail Trade,11,"$19,569","$33,958",,,
45,Los Angeles,1,FTF + FTT,08351,Kinesiology,Transportation & Warehousing,8,"$43,790","$48,139",,,
45,Los Angeles,1,FTF + FTT,08351,Kinesiology,Finance & Insurance,5,"$52,487","$48,885",,,
45,Los Angeles,1,FTF + FTT,08351,Kinesiology,"Professional, Scientific, & Technical Skills",,,,,,
45,Los Angeles,1,FTF + FTT,08351,Kinesiology,Admin & Support & Waste Mgmt & Remediation,8,"$25,177","$24,960",,,
45,Los Angeles,1,FTF + FTT,08351,Kinesiology,Educational Services,70,"$51,526","$50,354",35,"$78,104","$67,932"
45,Los Angeles,1,FTF + FTT,08351,Kinesiology,Health Care & Social Assistance,41,"$36,474","$38,831",10,"$34,074","$48,777"
45,Los Angeles,1,FTF + FTT,08351,Kinesiology,"Arts, Entertainment, & Recreation",10,"$50,846","$47,673",,,
