	average_annual_earnings_10_years_after_exit	average_annual_earnings_5_years_after_exit	campus	entry_status	hegis_at_exit	industry	location	major	median_annual_earnings_10_years_after_exit	median_annual_earnings_5_years_after_exit	naics	number_of_students_found_10_years_after_exit	number_of_students_found_5_years_after_exit	student_path
51	58482.0	54815.0	0	FTF + FTT	1091	Professional, Scientific, & Technical Skills		Agriculture/Agricultural Science & Horticulture-1091	52321.0	52168.0	11	5	7	1
52	67225.0	60536.0	0	FTF + FTT	1091	Admin & Support & Waste Mgmt & Remediation		Agriculture/Agricultural Science & Horticulture-1091	76673.0	58693.0	13	7	18	1
53	71480.0	65147.0	0	FTF + FTT	1091	Educational Services		Agriculture/Agricultural Science & Horticulture-1091	72497.0	66017.0	14	5	12	1
54			0	FTF + FTT	1091	Health Care & Social Assistance		Agriculture/Agricultural Science & Horticulture-1091			15			1
55	100006.0	72309.0	0	FTF + FTT	1091	Arts, Entertainment, & Recreation		Agriculture/Agricultural Science & Horticulture-1091	88443.0	71407.0	16	10	19	1
56			0	FTF + FTT	1091	Accommodation & Food Services		Agriculture/Agricultural Science & Horticulture-1091			17			1
57			0	FTF + FTT	1091	Other Services		Agriculture/Agricultural Science & Horticulture-1091			18			1
58	73905.0	57177.0	0	FTF + FTT	1091	Government		Agriculture/Agricultural Science & Horticulture-1091	68920.0	55293.0	19	12	21	1
59			0	FTF + FTT	1091	No Wages		Agriculture/Agricultural Science & Horticulture-1091			20	160	101	1
60	37066.0	38012.0	0	FTF + FTT	1091	Wages - No NAICS Code		Agriculture/Agricultural Science & Horticulture-1091	36987.0	36922.0	21	6	11	1
61			0	FTF + FTT	1043	Agriculture, Forestry, Fishing, & Hunting		Agriculture/Agricultural Science & Horticulture-1043			1			1
62			0	FTF + FTT	1043	Utilities		Agriculture/Agricultural Science & Horticulture-1043			2			1
63			0	FTF + FTT	1043	Construction		Agriculture/Agricultural Science & Horticulture-1043			3			1
64		58372.0	0	FTF + FTT	1043	Manufacturing		Agriculture/Agricultural Science & Horticulture-1043		58312.0	4		17	1
65	71225.0	78187.0	0	FTF + FTT	1043	Wholesale Trade		Agriculture/Agricultural Science & Horticulture-1043	88153.0	80626.0	5	13	10	1
66	42801.0	31864.0	0	FTF + FTT	1043	Retail Trade		Agriculture/Agricultural Science & Horticulture-1043	40522.0	25944.0	6	9	16	1
67			0	FTF + FTT	1043	Transportation & Warehousing		Agriculture/Agricultural Science & Horticulture-1043			7			1
68			0	FTF + FTT	1043	Information		Agriculture/Agricultural Science & Horticulture-1043			8			1
69		39495.0	0	FTF + FTT	1043	Finance & Insurance		Agriculture/Agricultural Science & Horticulture-1043		43868.0	9		13	1
70			0	FTF + FTT	1043	Real Estate & Rental & Leasing		Agriculture/Agricultural Science & Horticulture-1043			10			1
71	51292.0	36775.0	0	FTF + FTT	1043	Professional, Scientific, & Technical Skills		Agriculture/Agricultural Science & Horticulture-1043	45083.0	35273.0	11	48	169	1
72		48982.0	0	FTF + FTT	1043	Admin & Support & Waste Mgmt & Remediation		Agriculture/Agricultural Science & Horticulture-1043		53484.0	13		6	1
73	46849.0	43293.0	0	FTF + FTT	1043	Educational Services		Agriculture/Agricultural Science & Horticulture-1043	54464.0	44543.0	14	13	25	1
74	45930.0	39300.0	0	FTF + FTT	1043	Health Care & Social Assistance		Agriculture/Agricultural Science & Horticulture-1043	35380.0	38292.0	15	9	18	1
75	40845.0	32120.0	0	FTF + FTT	1043	Arts, Entertainment, & Recreation		Agriculture/Agricultural Science & Horticulture-1043	38398.0	30351.0	16	7	13	1
76		28582.0	0	FTF + FTT	1043	Accommodation & Food Services		Agriculture/Agricultural Science & Horticulture-1043		36803.0	17		13	1
77		36460.0	0	FTF + FTT	1043	Other Services		Agriculture/Agricultural Science & Horticulture-1043		35783.0	18		14	1
78	53202.0	48062.0	0	FTF + FTT	1043	Government		Agriculture/Agricultural Science & Horticulture-1043	59232.0	46774.0	19	17	25	1
79			0	FTF + FTT	1043	No Wages		Agriculture/Agricultural Science & Horticulture-1043			20	813	582	1
80	25055.0	15274.0	0	FTF + FTT	1043	Wages - No NAICS Code		Agriculture/Agricultural Science & Horticulture-1043	14274.0	11782.0	21	9	22	1
81		44647.0	0	FTF + FTT	1121	Agriculture, Forestry, Fishing, & Hunting		Agricultural Business		50711.0	1		8	1
82			0	FTF + FTT	1121	Construction		Agricultural Business			3			1
83		56339.0	0	FTF + FTT	1121	Manufacturing		Agricultural Business		53821.0	4		10	1
84		64842.0	0	FTF + FTT	1121	Wholesale Trade		Agricultural Business		68965.0	5		15	1
85		46545.0	0	FTF + FTT	1121	Retail Trade		Agricultural Business		33146.0	6		9	1
86		60395.0	0	FTF + FTT	1121	Transportation & Warehousing		Agricultural Business		49861.0	7		5	1
87			0	FTF + FTT	1121	Information		Agricultural Business			8			1
88			0	FTF + FTT	1121	Finance & Insurance		Agricultural Business			9			1
89			0	FTF + FTT	1121	Real Estate & Rental & Leasing		Agricultural Business			10			1
90		43506.0	0	FTF + FTT	1121	Professional, Scientific, & Technical Skills		Agricultural Business		49734.0	11		13	1
91			0	FTF + FTT	1121	Management of Companies & Enterprises		Agricultural Business			12			1
92			0	FTF + FTT	1121	Admin & Support & Waste Mgmt & Remediation		Agricultural Business			13			1
93			0	FTF + FTT	1121	Educational Services		Agricultural Business			14			1
94		53122.0	0	FTF + FTT	1121	Health Care & Social Assistance		Agricultural Business		55704.0	15		5	1
95		36612.0	0	FTF + FTT	1121	Arts, Entertainment, & Recreation		Agricultural Business		42191.0	16		6	1
96			0	FTF + FTT	1121	Accommodation & Food Services		Agricultural Business			17			1
97			0	FTF + FTT	1121	Other Services		Agricultural Business			18			1
98		53668.0	0	FTF + FTT	1121	Government		Agricultural Business		53717.0	19		10	1
99			0	FTF + FTT	1121	No Wages		Agricultural Business			20	232	163	1
100		28010.0	0	FTF + FTT	1121	Wages - No NAICS Code		Agricultural Business		23858.0	21		6	1
101		51231.0	0	FTF + FTT	1131	Manufacturing		Food Science and Technology		54045.0	4		14	1
102		63538.0	0	FTF + FTT	1131	Wholesale Trade		Food Science and Technology		58524.0	5		5	1
103			0	FTF + FTT	1131	Retail Trade		Food Science and Technology			6			1
104			0	FTF + FTT	1131	Transportation & Warehousing		Food Science and Technology			7			1
105			0	FTF + FTT	1131	Information		Food Science and Technology			8			1
106			0	FTF + FTT	1131	Professional, Scientific, & Technical Skills		Food Science and Technology			11			1
