Campus,Location,Student Path,Entry Stat,HEGIS At Exit,Major,Potential number of Students,Potential number of Students For Each Year Out of School,_25th Percentile Earnings,_50th Percentile Earnings,_75th Percentile Earnings,Average Earnings,Number of Students Found,Year
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528",125,"$48,180","$75,841","$101,549","$84,306",88,11
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528",56,"$62,242","$76,331","$108,154","$97,559",39,12
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528",6,,,,,3,13
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528",1,,,,,1,14
73,Channel Islands,1,FTF + FTT,05011,Business Administration,"1,528",,,,,,,15
73,Channel Islands,1,FTF + FTT,06011,Communications,588,528,"$13,176","$23,084","$33,863","$25,631",470,1
73,Channel Islands,1,FTF + FTT,06011,Communications,588,401,"$18,454","$32,011","$43,338","$33,691",353,2
73,Channel Islands,1,FTF + FTT,06011,Communications,588,308,"$21,099","$35,290","$48,507","$37,286",264,3
73,Channel Islands,1,FTF + FTT,06011,Communications,588,217,"$18,532","$36,920","$53,997","$39,189",181,4
73,Channel Islands,1,FTF + FTT,06011,Communications,588,156,"$25,776","$39,138","$57,373","$43,288",124,5
73,Channel Islands,1,FTF + FTT,06011,Communications,588,95,"$29,420","$43,575","$62,234","$47,437",70,6
73,Channel Islands,1,FTF + FTT,06011,Communications,588,39,"$29,316","$43,579","$67,838","$49,762",30,7
73,Channel Islands,1,FTF + FTT,06011,Communications,588,8,"$34,823","$38,623","$40,353","$42,745",5,8
73,Channel Islands,1,FTF + FTT,06011,Communications,588,,,,,,,9
73,Channel Islands,1,FTF + FTT,06011,Communications,588,,,,,,,10
73,Channel Islands,1,FTF + FTT,06011,Communications,588,,,,,,,11
73,Channel Islands,1,FTF + FTT,06011,Communications,588,,,,,,,12
73,Channel Islands,1,FTF + FTT,06011,Communications,588,,,,,,,13
73,Channel Islands,1,FTF + FTT,06011,Communications,588,,,,,,,14
73,Channel Islands,1,FTF + FTT,06011,Communications,588,,,,,,,15
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,215,"$27,302","$41,674","$59,504","$44,878",178,1
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,194,"$41,884","$56,027","$68,980","$56,576",155,2
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,163,"$46,486","$63,479","$76,696","$62,420",134,3
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,129,"$48,934","$69,909","$82,792","$66,848",106,4
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,103,"$44,067","$67,995","$86,603","$68,121",80,5
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,76,"$57,592","$74,853","$87,172","$74,271",59,6
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,54,"$58,741","$76,560","$89,761","$78,781",43,7
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,38,"$60,140","$79,109","$93,211","$84,713",28,8
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,28,"$66,611","$93,517","$119,681","$104,572",22,9
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,16,"$57,917","$86,370","$138,573","$95,873",12,10
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,9,"$43,402","$84,852","$159,330","$93,147",7,11
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,3,,,,,3,12
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,1,,,,,,13
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,,,,,,,14
73,Channel Islands,1,FTF + FTT,07011 + 07012 + 07028,Graphic Communications,251,,,,,,,15
73,Channel Islands,1,FTF + FTT,08231 + 08232,Child Development,172,146,"$12,193","$20,982","$28,171","$20,372",119,1
73,Channel Islands,1,FTF + FTT,08231 + 08232,Child Development,172,121,"$13,050","$25,033","$31,553","$23,295",100,2
73,Channel Islands,1,FTF + FTT,08231 + 08232,Child Development,172,89,"$16,096","$26,432","$34,531","$26,672",73,3
73,Channel Islands,1,FTF + FTT,08231 + 08232,Child Development,172,48,"$18,560","$30,649","$35,072","$29,717",38,4
73,Channel Islands,1,FTF + FTT,08231 + 08232,Child Development,172,28,"$15,312","$30,543","$36,577","$27,739",22,5
73,Channel Islands,1,FTF + FTT,08231 + 08232,Child Development,172,12,"$2,348","$16,092","$51,844","$26,841",7,6
73,Channel Islands,1,FTF + FTT,08231 + 08232,Child Development,172,6,,,,,4,7
73,Channel Islands,1,FTF + FTT,08231 + 08232,Child Development,172,,,,,,,8
73,Channel Islands,1,FTF + FTT,08231 + 08232,Child Development,172,,,,,,,9
73,Channel Islands,1,FTF + FTT,08231 + 08232,Child Development,172,,,,,,,10
73,Channel Islands,1,FTF + FTT,08231 + 08232,Child Development,172,,,,,,,11
73,Channel Islands,1,FTF + FTT,08231 + 08232,Child Development,172,,,,,,,12
73,Channel Islands,1,FTF + FTT,08231 + 08232,Child Development,172,,,,,,,13
73,Channel Islands,1,FTF + FTT,08231 + 08232,Child Development,172,,,,,,,14
73,Channel Islands,1,FTF + FTT,08231 + 08232,Child Development,172,,,,,,,15
73,Channel Islands,1,FTF + FTT,10015,Performing Arts,81,71,"$5,890","$14,503","$22,574","$15,919",61,1
73,Channel Islands,1,FTF + FTT,10015,Performing Arts,81,55,"$11,177","$20,711","$30,286","$22,213",48,2
73,Channel Islands,1,FTF + FTT,10015,Performing Arts,81,38,"$10,872","$23,445","$33,274","$25,976",32,3
73,Channel Islands,1,FTF + FTT,10015,Performing Arts,81,27,"$18,256","$27,552","$35,451","$28,627",21,4
73,Channel Islands,1,FTF + FTT,10015,Performing Arts,81,18,"$24,396","$33,691","$37,308","$29,836",14,5
73,Channel Islands,1,FTF + FTT,10015,Performing Arts,81,10,"$30,047","$38,579","$51,889","$42,600",8,6
73,Channel Islands,1,FTF + FTT,10015,Performing Arts,81,8,"$11,382","$24,512","$44,134","$31,263",7,7
73,Channel Islands,1,FTF + FTT,10015,Performing Arts,81,3,,,,,2,8
73,Channel Islands,1,FTF + FTT,10015,Performing Arts,81,,,,,,,9
73,Channel Islands,1,FTF + FTT,10015,Performing Arts,81,,,,,,,10
73,Channel Islands,1,FTF + FTT,10015,Performing Arts,81,,,,,,,11
73,Channel Islands,1,FTF + FTT,10015,Performing Arts,81,,,,,,,12
73,Channel Islands,1,FTF + FTT,10015,Performing Arts,81,,,,,,,13
73,Channel Islands,1,FTF + FTT,10015,Performing Arts,81,,,,,,,14
73,Channel Islands,1,FTF + FTT,10015,Performing Arts,81,,,,,,,15
73,Channel Islands,1,FTF + FTT,10021 + 10022,Art,595,567,"$7,379","$16,851","$26,800","$19,800",445,1
73,Channel Islands,1,FTF + FTT,10021 + 10022,Art,595,507,"$12,742","$22,768","$36,788","$26,964",389,2
73,Channel Islands,1,FTF + FTT,10021 + 10022,Art,595,435,"$14,452","$27,915","$42,608","$31,684",323,3
73,Channel Islands,1,FTF + FTT,10021 + 10022,Art,595,374,"$15,198","$31,854","$46,517","$34,594",278,4
73,Channel Islands,1,FTF + FTT,10021 + 10022,Art,595,318,"$17,809","$33,981","$52,518","$38,592",229,5
73,Channel Islands,1,FTF + FTT,10021 + 10022,Art,595,259,"$19,534","$37,413","$59,614","$42,815",186,6
73,Channel Islands,1,FTF + FTT,10021 + 10022,Art,595,209,"$18,711","$39,451","$60,127","$46,680",151,7
73,Channel Islands,1,FTF + FTT,10021 + 10022,Art,595,175,"$20,097","$42,177","$65,739","$50,765",123,8
73,Channel Islands,1,FTF + FTT,10021 + 10022,Art,595,121,"$22,872","$46,287","$68,792","$51,642",84,9
73,Channel Islands,1,FTF + FTT,10021 + 10022,Art,595,82,"$18,838","$55,222","$83,408","$60,093",54,10
73,Channel Islands,1,FTF + FTT,10021 + 10022,Art,595,56,"$21,947","$49,881","$84,452","$68,112",34,11
73,Channel Islands,1,FTF + FTT,10021 + 10022,Art,595,26,"$28,278","$50,738","$87,951","$66,999",14,12
73,Channel Islands,1,FTF + FTT,10021 + 10022,Art,595,1,,,,,,13
73,Channel Islands,1,FTF + FTT,10021 + 10022,Art,595,,,,,,,14
73,Channel Islands,1,FTF + FTT,10021 + 10022,Art,595,,,,,,,15
73,Channel Islands,1,FTF + FTT,10031,Art History,47,44,"$6,680","$22,320","$33,853","$25,054",37,1
73,Channel Islands,1,FTF + FTT,10031,Art History,47,37,"$14,734","$30,890","$38,504","$32,044",29,2
73,Channel Islands,1,FTF + FTT,10031,Art History,47,33,"$10,960","$29,255","$43,853","$32,430",24,3
73,Channel Islands,1,FTF + FTT,10031,Art History,47,33,"$16,935","$36,516","$50,004","$36,509",23,4
73,Channel Islands,1,FTF + FTT,10031,Art History,47,32,"$17,788","$37,665","$53,745","$38,525",23,5
73,Channel Islands,1,FTF + FTT,10031,Art History,47,31,"$13,714","$39,613","$51,794","$39,825",22,6
73,Channel Islands,1,FTF + FTT,10031,Art History,47,22,"$12,311","$42,317","$53,361","$39,290",18,7
73,Channel Islands,1,FTF + FTT,10031,Art History,47,18,"$24,126","$46,379","$56,448","$45,542",14,8
73,Channel Islands,1,FTF + FTT,10031,Art History,47,12,"$32,117","$39,473","$72,216","$51,357",9,9
73,Channel Islands,1,FTF + FTT,10031,Art History,47,6,"$41,655","$95,065","$109,848","$73,384",5,10
73,Channel Islands,1,FTF + FTT,10031,Art History,47,2,,,,,2,11
73,Channel Islands,1,FTF + FTT,10031,Art History,47,,,,,,,12
73,Channel Islands,1,FTF + FTT,10031,Art History,47,,,,,,,13
73,Channel Islands,1,FTF + FTT,10031,Art History,47,,,,,,,14
73,Channel Islands,1,FTF + FTT,10031,Art History,47,,,,,,,15
73,Channel Islands,1,FTF + FTT,11051,Spanish,101,93,"$9,838","$18,651","$33,826","$23,760",72,1
73,Channel Islands,1,FTF + FTT,11051,Spanish,101,76,"$10,261","$21,445","$39,133","$26,491",63,2
73,Channel Islands,1,FTF + FTT,11051,Spanish,101,58,"$11,676","$26,064","$39,874","$26,878",46,3
73,Channel Islands,1,FTF + FTT,11051,Spanish,101,46,"$13,534","$25,520","$44,981","$30,856",35,4
73,Channel Islands,1,FTF + FTT,11051,Spanish,101,34,"$17,813","$27,582","$47,460","$32,378",23,5
73,Channel Islands,1,FTF + FTT,11051,Spanish,101,27,"$5,262","$26,825","$56,811","$35,238",17,6
73,Channel Islands,1,FTF + FTT,11051,Spanish,101,19,"$10,729","$36,100","$55,067","$41,664",8,7
73,Channel Islands,1,FTF + FTT,11051,Spanish,101,13,"$17,410","$59,460","$73,940","$61,791",6,8
73,Channel Islands,1,FTF + FTT,11051,Spanish,101,6,,,,,4,9
73,Channel Islands,1,FTF + FTT,11051,Spanish,101,3,,,,,1,10
73,Channel Islands,1,FTF + FTT,11051,Spanish,101,,,,,,,11
73,Channel Islands,1,FTF + FTT,11051,Spanish,101,,,,,,,12
73,Channel Islands,1,FTF + FTT,11051,Spanish,101,,,,,,,13
73,Channel Islands,1,FTF + FTT,11051,Spanish,101,,,,,,,14
73,Channel Islands,1,FTF + FTT,11051,Spanish,101,,,,,,,15
73,Channel Islands,1,FTF + FTT,12011,Health Science,4,,,,,,,1
73,Channel Islands,1,FTF + FTT,12011,Health Science,4,,,,,,,2
73,Channel Islands,1,FTF + FTT,12011,Health Science,4,,,,,,,3
73,Channel Islands,1,FTF + FTT,12011,Health Science,4,,,,,,,4
73,Channel Islands,1,FTF + FTT,12011,Health Science,4,,,,,,,5
